x,y,z
2.7,-23.1,-14.7
1.2,-24.6,-13.8
0.3,-26.7,-11.1
-0.6,-25.2,-11.4
-0.3,-27.3,-9.3
-1.5,-27.3,-9.3
-0.3,-26.7,-7.5
-3.0,-28.8,-7.8
-3.3,-28.5,-6.9
-3.9,-27.3,-7.5
-3.0,-30.6,-6.6
-4.5,-29.1,-4.5
-4.8,-30.0,-3.0
-5.1,-29.1,-2.7
-5.7,-30.3,-0.9
-5.1,-31.5,-1.5
-6.3,-32.1,-0.3
-8.4,-33.0,3.0
-7.8,-33.6,3.0
-6.9,-33.9,4.5
-7.8,-32.4,7.8
-6.0,-31.8,8.4
-8.1,-33.9,9.9
-6.0,-32.4,10.2
-6.9,-32.7,13.5
-8.4,-34.2,15.0
-6.3,-33.3,13.5
-6.9,-32.1,15.9
-5.4,-32.4,19.2
-4.8,-31.8,20.4
-4.5,-32.7,19.5
-3.9,-31.5,20.1
-4.2,-31.2,21.6
-5.4,-30.6,21.0
-4.5,-30.9,23.1
-4.2,-31.2,22.2
-5.4,-31.2,23.4
-2.1,-29.7,25.5
-2.4,-31.2,25.8
-1.5,-30.3,26.1
-1.8,-29.4,28.2
-0.9,-28.5,26.7
-0.3,-29.1,27.9
-1.2,-29.4,29.4
0.3,-29.1,28.5
2.1,-27.9,30.3
1.2,-25.8,30.0
2.4,-28.2,33.0
3.3,-24.9,31.5
4.8,-25.2,31.8
3.9,-24.9,31.5
3.9,-24.3,35.1
4.2,-24.6,34.8
5.1,-23.1,34.5
4.2,-23.4,36.6
4.8,-21.6,36.0
6.3,-20.1,37.5
4.8,-19.2,39.6
7.2,-20.4,38.4
7.2,-19.2,39.6
6.6,-18.0,40.2
5.4,-18.0,40.2
6.9,-17.7,39.9
7.8,-16.2,41.4
8.7,-15.9,41.7
9.9,-15.3,41.7
11.1,-12.3,42.9
12.6,-13.8,42.0
13.2,-10.8,42.6
15.3,-9.9,42.9
15.6,-9.6,42.0
16.8,-5.4,42.6
18.3,-5.1,42.3
20.7,-3.3,42.9
19.2,-3.0,42.0
21.0,-1.2,40.8
21.0,0.0,43.8
21.6,0.0,42.0
21.6,0.6,41.4
23.1,3.3,41.7
22.8,4.8,42.0
24.0,4.8,42.0
24.3,6.9,41.7
23.1,8.7,40.5
26.1,10.5,40.5
24.0,13.2,40.2
26.7,13.5,36.3
26.4,14.4,38.4
25.8,16.2,38.4
25.8,16.8,37.8
25.2,16.8,38.4
25.5,18.9,36.3
25.5,18.3,36.3
26.4,19.2,36.0
25.8,18.6,36.0
27.6,18.6,37.2
28.8,16.2,37.2
28.8,15.6,37.8
29.4,14.4,37.2
30.6,14.4,37.8
30.0,13.8,36.0
31.8,13.8,34.8
30.6,14.4,33.6
31.8,13.2,32.4
32.7,12.9,32.1
32.7,13.5,30.3
33.9,14.7,30.3
33.3,13.5,30.3
34.8,13.8,30.0
36.6,15.0,28.2
33.9,15.3,26.7
36.3,15.3,24.9
36.3,16.5,26.7
36.6,15.6,23.4
36.9,16.5,22.5
37.8,15.6,21.6
37.2,15.6,21.0
39.6,16.8,17.4
38.4,16.8,18.0
37.2,18.6,16.8
38.4,17.4,15.6
38.4,19.2,15.0
39.6,18.6,10.8
39.0,18.0,11.4
37.5,18.9,9.3
38.4,18.6,10.2
37.8,19.2,9.0
37.2,17.4,7.8
38.4,19.2,6.0
37.8,19.8,6.6
38.1,18.3,3.9
38.1,18.9,2.7
36.6,19.8,1.2
38.1,20.1,3.3
36.6,19.8,-0.6
36.9,19.5,1.5
37.5,19.5,1.5
36.9,19.5,0.9
36.0,19.2,1.2
35.7,19.5,0.3
36.3,18.9,-0.9
35.1,21.3,-0.9
35.4,19.2,-1.2
35.7,20.7,-0.9
34.8,20.4,-1.2
36.3,18.3,-0.3
36.0,19.2,0.0
35.7,18.3,-1.5
37.5,18.3,0.3
36.6,16.8,0.6
36.6,17.4,1.2
38.4,15.6,0.6
38.4,15.6,3.0
39.0,13.2,6.0
40.5,12.3,7.5
40.5,10.5,11.1
39.3,8.7,12.3
38.7,7.5,12.9
40.8,6.6,14.4
39.9,6.3,17.1
39.6,4.8,16.8
40.5,3.3,17.1
40.2,3.6,18.6
39.3,3.9,20.1
37.8,4.2,21.0
38.1,2.1,21.9
40.8,3.0,22.2
38.4,2.4,22.2
39.3,1.5,23.1
37.8,1.2,25.2
37.5,0.3,26.1
35.7,-2.1,27.3
33.3,-5.7,26.7
30.6,-7.2,31.2
28.2,-11.4,31.8
27.6,-14.4,31.8
26.4,-16.2,32.4
23.1,-14.7,32.1
23.7,-15.9,33.3
22.8,-16.8,33.6
22.5,-15.3,32.7
21.9,-15.9,31.5
24.0,-18.0,32.4
21.3,-18.3,32.1
21.3,-18.3,31.5
19.2,-19.8,30.6
18.9,-20.1,31.5
18.0,-21.6,31.2
16.2,-21.6,31.8
16.8,-23.4,31.2
17.7,-22.5,30.9
15.0,-24.0,31.2
15.3,-23.7,28.5
15.0,-25.2,28.8
13.8,-25.8,28.8
11.4,-26.4,28.2
12.9,-26.7,29.1
11.7,-26.7,29.1
11.4,-25.8,29.4
12.3,-28.5,27.9
9.9,-26.7,28.5
12.3,-27.9,24.9
11.4,-27.6,26.4
9.0,-28.2,26.4
8.1,-28.5,26.7
9.0,-29.4,26.4
5.4,-29.4,23.4
6.6,-31.8,24.6
4.8,-29.4,22.8
4.8,-29.4,24.0
6.0,-29.4,25.8
5.4,-30.0,24.0
7.5,-29.1,24.3
5.1,-29.7,24.9
2.4,-28.8,26.4
3.0,-30.6,26.4
2.4,-29.4,27.0
0.9,-29.7,27.3
-0.9,-29.1,27.3
-1.2,-29.4,27.6
0.9,-30.9,26.7
-0.6,-30.6,27.0
-1.5,-29.7,27.9
-1.8,-29.4,25.2
-2.1,-29.7,26.1
-2.7,-30.9,26.1
-2.4,-31.2,24.6
-2.4,-31.2,25.8
-3.3,-32.1,24.3
-2.1,-30.3,23.1
-0.6,-31.2,23.4
1.8,-30.0,19.8
4.2,-31.2,15.6
2.7,-32.1,11.7
4.5,-34.5,9.3
4.2,-33.0,8.4
5.1,-32.1,9.3
4.8,-34.8,8.4
5.7,-33.9,6.9
5.4,-31.2,6.0
5.7,-32.1,5.1
4.8,-32.4,3.6
3.9,-30.9,3.9
3.9,-32.7,2.7
3.3,-31.5,2.1
1.8,-31.2,3.0
1.2,-32.4,0.0
-0.9,-32.1,-0.9
-0.6,-31.8,0.0
0.9,-32.7,-0.3
1.8,-32.4,-0.6
2.4,-31.8,-1.8
4.2,-30.0,-2.4
6.0,-32.4,-2.4
6.9,-31.5,-3.9
6.3,-28.5,-3.9
8.1,-27.9,-5.7
8.4,-28.8,-7.8
7.2,-27.6,-6.6
