I, --> Sentencia amb algunes dades no vàlides
Estructura --> $MTKG, Latitud, Longitud, Altitud, Vel. Hor. en KM/H, Hora UTC, Satel.lits, Dades GPS valides (V/I), Pressio en Pa, Temp.ext en ºC, Temp.int en ºC, Fotos fetes*Checksum 

-- Meteotek --
 Inicialitzant tasques....
 Inicialitzacio finalitzada. Indicador d'estat: 000F
 Envieu la comanda de bloqueig per parar l'execucio
$MTKG,41 31.06376 N,000 11.26339 W,3080,033.5,081755,11,V,70066,+1.5625,+4.8750,45*5B
$MTKG,41 31.10996 N,000 11.32159 W,3147,057.1,081805,11,V,69507,+1.5625,+4.9375,45*57
$MTKG,41 31.15787 N,000 11.37849 W,3215,042.2,081815,11,V,68908,-1.8750,+4.9375,45*59
$MTKG,41 31.20360 N,000 11.43877 W,3278,054.6,081825,11,V,68353,+0.5000,+4.9375,46*58
$MTKG,41 31.24504 N,000 11.48933 W,3343,038.4,081835,11,V,67805,-1.9375,+4.9375,46*5F
$MTKG,41 31.28814 N,000 11.54550 W,3406,049.0,081845,11,V,67278,-1.9375,+4.9375,46*58
$MTKG,41 31.36262 N,000 11.63087 W,3501,048.4,081900,11,V,66477,-2.8750,+4.9375,47*5C
$MTKG,41 31.42102 N,000 11.68279 W,3564,042.2,081910,11,V,65929,-1.9375,+4.9375,47*58
$MTKG,41 31.48277 N,000 11.73880 W,3630,046.9,081920,11,V,65389,-2.0000,+4.9375,47*50
$MTKG,41 31.53943 N,000 11.79308 W,3697,055.8,081930,11,V,64854,-1.9375,+4.9375,48*56
$MTKG,41 31.60095 N,000 11.84347 W,3760,048.0,081940,11,V,64358,-3.8750,+4.9375,48*50
$MTKG,41 31.66756 N,000 11.89794 W,3823,042.0,081950,11,V,63847,-3.3750,+4.9375,48*53
$MTKG,41 31.72805 N,000 11.95481 W,3888,041.8,082000,11,V,63314,-4.3750,+4.9375,49*5B
$MTKG,41 31.78508 N,000 12.01290 W,3952,041.4,082010,11,V,62795,-4.0625,+4.9375,49*5E
$MTKG,41 31.84474 N,000 12.07503 W,4012,051.2,082020,11,V,62316,-5.9375,+5.0000,50*54
$MTKG,41 31.89872 N,000 12.14226 W,4076,049.8,082030,11,V,61808,-5.0625,+4.9375,50*56
$MTKG,41 31.97605 N,000 12.22851 W,4172,037.4,082045,11,V,61063,-5.7500,+4.9375,50*5C
$MTKG,41 32.02946 N,000 12.30079 W,4237,057.5,082055,11,V,60520,-6.5625,+4.9375,51*59
$MTKG,41 32.08262 N,000 12.35604 W,4304,046.1,082105,11,V,60012,-7.8750,+4.9375,51*5D
$MTKG,41 32.14423 N,000 12.43319 W,4364,050.3,082115,10,V,59545,-8.5625,+4.9375,51*54
$MTKG,41 32.19479 N,000 12.50380 W,4433,054.6,082125,11,V,59041,-8.3125,+4.9375,52*51
$MTKG,41 32.25602 N,000 12.56746 W,4504,057.2,082135,11,V,58501,-9.0000,+4.9375,52*5F
$MTKG,41 32.30924 N,000 12.62968 W,4574,055.8,082145,10,V,57934,-10.6250,+4.8750,52*62
$MTKG,41 32.36297 N,000 12.70787 W,4638,059.8,082155,10,V,57479,-10.1250,+4.8750,53*6F
$MTKG,41 32.42222 N,000 12.78257 W,4709,049.2,082205,10,V,56968,-10.0625,+4.8750,53*67
$MTKG,41 32.52419 N,000 12.88003 W,4811,066.5,082220,7,V,56200,-12.8750,+4.8750,53*55
$MTKG,41 32.55530 N,000 12.92299 W,4848,051.4,082225,7,V,55967,-12.5625,+4.8125,54*5A
$MTKG,41 32.66416 N,000 13.03053 W,4945,065.7,082240,7,V,55223,-12.6875,+4.8125,54*5A
$MTKG,41 32.72542 N,000 13.10478 W,5018,045.5,082250,7,V,54715,-13.9375,+4.8125,54*55
$MTKG,41 32.78792 N,000 13.16956 W,5081,057.2,082300,7,V,54295,-13.5000,+4.8125,55*56
$MTKG,41 32.84395 N,000 13.24855 W,5151,052.2,082310,7,V,53788,-13.0000,+4.7500,55*5A
$MTKG,41 32.89551 N,000 13.31970 W,5219,054.1,082320,7,V,53275,-14.7500,+4.6875,55*5E
$MTKG,41 32.95393 N,000 13.39366 W,5285,058.3,082330,7,V,52799,-14.3750,+4.6875,56*52
$MTKG,41 33.01421 N,000 13.45866 W,5355,051.8,082340,7,V,52317,-15.3125,+4.6875,56*5E
$MTKG,41 33.07204 N,000 13.51749 W,5423,047.7,082350,7,V,51867,-15.3125,+4.6250,56*53
$MTKG,41 33.12281 N,000 13.58630 W,5492,050.1,082400,7,V,51395,-15.0000,+4.6250,57*56
$MTKG,41 33.17944 N,000 13.66318 W,5563,049.0,082410,7,V,50882,-16.1875,+4.5625,57*55
$MTKG,41 33.25697 N,000 13.78521 W,5668,069.7,082425,7,V,50173,-17.6250,+4.5625,57*51
$MTKG,41 33.32035 N,000 13.86263 W,5736,053.1,082435,7,V,49717,-17.6250,+4.5000,58*5F
$MTKG,41 33.37314 N,000 13.94919 W,5806,054.3,082445,7,V,49221,-18.6875,+4.4375,58*53
$MTKG,41 33.43893 N,000 14.01259 W,5876,064.3,082455,7,V,48714,-19.8750,+4.4375,58*50
$MTKG,41 33.50826 N,000 14.09035 W,5952,061.7,082505,7,V,48229,-19.5625,+4.4375,59*5A
$MTKG,41 33.57589 N,000 14.17621 W,6020,073.9,082515,7,V,47780,-20.8750,+4.3125,59*57
$MTKG,41 33.63914 N,000 14.24937 W,6091,061.6,082525,7,V,47309,-21.8125,+4.3125,59*55
$MTKG,41 33.70881 N,000 14.33444 W,6164,068.9,082535,7,V,46803,-21.8750,+4.2500,60*55
$MTKG,41 33.78081 N,000 14.40274 W,6230,051.4,082545,7,V,46365,-21.4375,+4.2500,60*52
$MTKG,41 33.84682 N,000 14.46621 W,6290,068.8,082555,7,V,45984,-22.5625,+4.1875,60*53
$MTKG,41 33.95271 N,000 14.55176 W,6394,044.7,082610,7,V,45339,-21.0625,+4.1250,61*5C
$MTKG,41 34.00406 N,000 14.59198 W,6457,048.6,082620,7,V,44963,-23.5625,+4.0625,61*5F
$MTKG,41 34.06418 N,000 14.63434 W,6530,033.6,082630,7,V,44490,-23.1875,+4.0000,61*5E
$MTKG,41 34.11682 N,000 14.68181 W,6605,031.3,082640,7,V,44051,-24.8125,+3.9375,62*5B
$MTKG,41 34.16679 N,000 14.72395 W,6673,050.0,082650,7,V,43633,-25.9375,+3.9375,62*52
$MTKG,41 34.23817 N,000 14.78038 W,6743,054.5,082700,8,V,43212,-24.5625,+3.8125,62*58
$MTKG,41 34.29571 N,000 14.84463 W,6812,053.3,082710,8,V,42808,-24.3750,+3.8125,63*59
$MTKG,41 34.34687 N,000 14.88666 W,6887,046.7,082720,8,V,42340,-25.2500,+3.7500,63*57
$MTKG,41 34.39184 N,000 14.95255 W,6943,033.2,082730,8,V,42024,-26.8125,+3.6875,63*5C
$MTKG,41 34.43485 N,000 15.01605 W,7013,029.3,082740,8,V,41598,-26.1250,+3.6250,64*5B
$MTKG,41 34.50792 N,000 15.08959 W,7100,038.3,082755,8,V,41079,-27.5625,+3.5625,64*58
$MTKG,41 34.54966 N,000 15.12885 W,7162,038.7,082805,8,V,40715,-27.0000,+3.5000,64*51
$MTKG,41 34.59939 N,000 15.17009 W,7228,039.7,082815,8,V,40334,-28.6250,+3.4375,65*5A
$MTKG,41 34.65234 N,000 15.23554 W,7286,032.9,082825,8,V,40007,-29.1875,+3.3750,65*57
$MTKG,41 34.69866 N,000 15.27275 W,7345,041.0,082835,8,V,39687,-30.8750,+3.3125,65*59
$MTKG,41 34.73497 N,000 15.32950 W,7410,050.8,082845,8,V,39309,-30.8125,+3.2500,66*56
$MTKG,41 34.78538 N,000 15.39715 W,7463,045.0,082855,8,V,39016,-30.8125,+3.1875,66*55
$MTKG,41 34.82531 N,000 15.43034 W,7518,028.1,082905,8,V,38724,-31.5625,+3.0625,67*54
$MTKG,41 34.87005 N,000 15.48152 W,7580,031.6,082915,8,V,38379,-30.3750,+3.0000,67*5F
$MTKG,41 34.94300 N,000 15.52309 W,7678,047.3,082930,8,V,37823,-32.4375,+3.0000,67*56
$MTKG,41 34.99558 N,000 15.57837 W,7738,029.5,082940,8,V,37507,-32.3125,+2.8750,68*50
$MTKG,41 35.04724 N,000 15.60749 W,7799,049.8,082950,8,V,37184,-33.8750,+2.8125,68*5A
$MTKG,41 35.09111 N,000 15.65464 W,7854,029.4,083000,8,V,36890,-32.3750,+2.7500,68*5C
$MTKG,41 35.14932 N,000 15.67206 W,7905,043.6,083010,8,V,36618,-33.8750,+2.6250,69*55
$MTKG,41 35.20780 N,000 15.70580 W,7975,041.5,083020,8,V,36233,-34.1875,+2.6250,69*54
$MTKG,41 35.26322 N,000 15.75347 W,8035,044.6,083030,8,V,35928,-34.5000,+2.5625,69*5A
$MTKG,41 35.32439 N,000 15.76602 W,8083,028.9,083040,8,V,35676,-35.8750,+2.4375,70*59
$MTKG,41 35.37616 N,000 15.78140 W,8154,037.7,083050,8,V,35315,-35.3125,+2.3750,70*5D
$MTKG,41 35.47411 N,000 15.82636 W,8243,045.8,083105,8,V,34847,-35.0000,+2.3125,70*5E
$MTKG,41 35.50366 N,000 15.83144 W,8277,034.6,083110,8,V,34671,-36.3125,+2.1875,71*55
$MTKG,41 35.60876 N,000 15.83368 W,8353,052.7,083125,10,V,34281,-37.2500,+2.0625,71*6B
$MTKG,41 35.65893 N,000 15.85915 W,8413,022.6,083135,10,V,33988,-38.2500,+2.0000,71*6C
$MTKG,41 35.70257 N,000 15.88993 W,8470,039.2,083145,10,V,33698,-38.3750,+1.8750,72*67
$MTKG,41 35.88268 N,000 15.94959 W,8619,049.5,083215,11,V,32967,-37.1250,+1.6875,73*6C
$MTKG,41 35.93461 N,000 15.98351 W,8667,035.4,083225,11,V,32730,-38.3125,+1.5625,73*6F
$MTKG,41 36.00847 N,000 15.99961 W,8729,058.0,083235,11,V,32435,-38.0625,+1.5000,73*60
$MTKG,41 36.08291 N,000 16.03564 W,8784,037.8,083245,11,V,32168,-39.6875,+1.3750,74*63
